shape,width_mm,depth_mm,height_mm,standoff_mm,total_depth_mm,length_mm,shadow_x_mm,shadow_y_mm,source_height_mm,declared_cut_mm,blur_mm,visible_artwork_percent,score
Cylinder,100,100,60,30,90,800,0,0,84,0.4031,1.4669,70.85,0.06298051606108479
Cylinder,100,100,60,10,70,600,0,0,64,0.4095,1.0502,70.1,0.06008801624915369
Cylinder,100,100,44,10,54,450,0,0,48,0.4095,0.7376,62.28,0.051902317008952085
Cylinder,100,100,60,0,60,450,0,0,54,0.4607,0.7376,63.84,0.04788210900473933
Cylinder,100,100,44,30,74,600,0,0,68,0.4351,1.0502,58.39,0.04734533111310362
Cylinder,100,100,60,20,80,600,0,0,74,0.4735,1.0502,62.14,0.04660841232227488
Cylinder,80,80,60,30,90,600,0,0,84,0.4255,1.3792,53.99,0.04499078462348605
Rectangle,80,80,60,30,90,600,0,0,84,0.4097,1.3792,53.99,0.04499078462348605
Cylinder,80,80,60,10,70,450,0,0,64,0.4322,0.9844,52.84,0.0424636086662153
Rectangle,80,80,60,10,70,450,0,0,64,0.4157,0.9844,52.84,0.0424636086662153
Rectangle,80,100,60,30,90,600,0,0,84,0.4097,1.3792,53.99,0.04024098111166683
Rectangle,100,80,60,30,90,600,0,0,84,0.4097,1.3792,53.99,0.04024098111166683
Rectangle,80,100,60,10,70,450,0,0,64,0.4157,0.9844,52.84,0.03798060621904263
Rectangle,100,80,60,10,70,450,0,0,64,0.4157,0.9844,52.84,0.03798060621904263
Cylinder,80,80,44,30,74,450,0,0,68,0.4592,0.9844,48.62,0.03695601703599334
Cylinder,80,80,36,30,66,450,0,0,60,0.4052,0.9844,42.99,0.03663897565704438
Cylinder,100,100,60,30,90,600,0,0,84,0.5374,1.0502,53.99,0.03599262769878884
Cylinder,100,100,44,20,64,450,0,0,58,0.4948,0.7376,49.94,0.03511459567535545
Cylinder,80,80,36,10,46,300,0,0,40,0.4052,0.5896,42.99,0.03504597671543375
Cylinder,100,100,44,0,44,300,0,0,38,0.4863,0.4251,51.01,0.03477757432141318
Cylinder,100,100,60,10,70,450,0,0,64,0.546,0.7376,52.84,0.03397088693297224
Rectangle,80,80,44,30,74,450,0,0,68,0.4396,0.9844,44.51,0.03383381900858204
Cylinder,100,100,36,20,56,450,0,0,50,0.4265,0.7376,39.69,0.03189531144211239
Cylinder,80,80,44,10,54,300,0,0,48,0.4863,0.5896,44.29,0.030759061786905392
Cylinder,80,80,60,20,80,450,0,0,74,0.4998,0.9844,42.42,0.02982449644549763
Rectangle,80,80,60,20,80,450,0,0,74,0.4748,0.9844,42.42,0.02982449644549763
