shape,width_mm,depth_mm,height_mm,standoff_mm,total_depth_mm,length_mm,shadow_x_mm,shadow_y_mm,source_height_mm,declared_cut_mm,blur_mm,visible_artwork_percent,score
Cylinder,80,80,60,20,80,450,0,0,74,0.4009,1.1224,82.55,0.058044109513274336
Cylinder,100,100,60,30,90,600,0,0,84,0.4311,1.1959,85.63,0.057089478859390363
Cylinder,100,100,60,10,70,450,0,0,64,0.4379,0.8469,85.37,0.05487989886219975
Cylinder,80,80,60,0,60,300,0,0,54,0.4388,0.6816,80.77,0.050479351032448376
Rectangle,80,80,60,0,60,300,0,0,54,0.4176,0.6816,80.77,0.050479351032448376
Cylinder,80,80,60,30,90,450,0,0,84,0.455,1.1224,80.04,0.05002765486725664
Rectangle,80,80,60,30,90,450,0,0,84,0.4316,1.1224,80.04,0.05002765486725664
Cylinder,100,100,44,30,74,450,0,0,68,0.4653,0.8469,81.45,0.049527624970102845
Cylinder,100,100,36,30,66,450,0,0,60,0.4106,0.8469,70.66,0.04817980691874497
Cylinder,80,80,36,20,56,300,0,0,50,0.4063,0.6816,70.66,0.047319453223767384
Cylinder,100,100,60,20,80,450,0,0,74,0.5064,0.8469,82.55,0.04643528761061947
Cylinder,100,100,36,10,46,300,0,0,40,0.4106,0.498,70.66,0.046085032704886494
Cylinder,80,80,44,20,64,300,0,0,58,0.4713,0.6816,77.17,0.045215707964601774
Rectangle,80,100,60,0,60,300,0,0,54,0.4176,0.6816,80.77,0.045150104147451506
Rectangle,100,80,60,0,60,300,0,0,54,0.4176,0.6816,80.77,0.045150104147451506
Rectangle,80,100,60,30,90,450,0,0,84,0.4316,1.1224,80.04,0.044746094815233624
Rectangle,100,80,60,30,90,450,0,0,84,0.4316,1.1224,80.04,0.044746094815233624
Cylinder,100,100,44,10,54,300,0,0,48,0.4927,0.498,80.24,0.04457554900032776
Rectangle,80,80,44,20,64,300,0,0,58,0.4454,0.6816,72.71,0.04260577986725664
Cylinder,60,60,44,30,74,300,0,0,68,0.4071,0.9965,62.09,0.041955672486645945
Cylinder,100,100,60,0,60,300,0,0,54,0.5543,0.498,80.77,0.040383480825958704
Cylinder,100,100,60,30,90,450,0,0,84,0.5748,0.8469,80.04,0.040022123893805314
Cylinder,60,60,60,20,80,300,0,0,74,0.4431,0.9965,56.86,0.035536504424778764
Rectangle,60,60,60,20,80,300,0,0,74,0.4053,0.9965,56.86,0.035536504424778764
Cylinder,80,80,60,10,70,300,0,0,64,0.52,0.6816,66.0,0.03535872313527181
Rectangle,80,80,60,10,70,300,0,0,64,0.4858,0.6816,66.0,0.03535872313527181
Rectangle,80,100,44,20,64,300,0,0,58,0.4454,0.6816,64.19,0.03363996072344816
Cylinder,80,80,36,30,66,300,0,0,60,0.4875,0.6816,57.32,0.03256570126039153
Rectangle,80,100,60,10,70,300,0,0,64,0.4858,0.6816,66.0,0.0316258034112249
Rectangle,100,80,60,10,70,300,0,0,64,0.4858,0.6816,66.0,0.0316258034112249
Cylinder,80,80,44,30,74,300,0,0,68,0.5525,0.6816,62.09,0.03146675436498446
Rectangle,100,80,44,20,64,300,0,0,58,0.4454,0.6816,59.06,0.0309500006288342
Rectangle,60,80,60,20,80,300,0,0,74,0.4053,0.9965,56.86,0.03077551559355652
Rectangle,80,60,60,20,80,300,0,0,74,0.4053,0.9965,56.86,0.03077551559355652
