shape,width_mm,depth_mm,height_mm,standoff_mm,total_depth_mm,length_mm,shadow_x_mm,shadow_y_mm,source_height_mm,declared_cut_mm,blur_mm,visible_artwork_percent,score
Cylinder,80,80,44,10,54,800,0,0,48,0.4559,1.9056,89.81,0.1663156047042303
Cylinder,100,100,44,0,44,800,0,0,38,0.4559,1.4669,91.39,0.1661640097659055
Rectangle,80,80,44,10,54,800,0,0,48,0.4526,1.9056,88.29,0.16349979521385524
Cylinder,100,100,30,10,40,800,0,0,34,0.4079,1.4669,79.7,0.15939968404423382
Cylinder,60,60,30,20,50,600,0,0,44,0.4106,1.9432,78.28,0.15655608214849923
Cylinder,80,80,30,20,50,800,0,0,44,0.4179,1.9056,78.28,0.15655608214849923
Cylinder,60,60,44,10,54,600,0,0,48,0.4479,1.9432,82.11,0.15205371248025276
Rectangle,60,60,44,10,54,600,0,0,48,0.4422,1.9432,82.11,0.15205371248025276
Cylinder,80,80,44,0,44,600,0,0,38,0.4812,1.3792,88.47,0.15079707022834987
Cylinder,80,80,30,0,30,450,0,0,24,0.4052,0.9844,79.54,0.1491409952606635
Cylinder,80,80,36,20,56,800,0,0,50,0.4749,1.9056,83.43,0.14898583841119387
Rectangle,80,80,44,0,44,600,0,0,38,0.4774,1.3792,87.26,0.14874380654890135
Cylinder,80,80,60,0,60,800,0,0,54,0.5129,1.9056,87.38,0.14563586097946288
Rectangle,80,80,60,0,60,800,0,0,54,0.5082,1.9056,87.38,0.14563586097946288
Cylinder,100,100,36,10,46,800,0,0,40,0.4799,1.4669,83.43,0.1450992513222062
Rectangle,60,60,30,20,50,600,0,0,44,0.4062,1.9432,72.49,0.14498420221169037
Rectangle,80,80,30,20,50,800,0,0,44,0.4154,1.9056,72.49,0.14498420221169037
Cylinder,60,60,30,10,40,450,0,0,34,0.423,1.4074,77.03,0.14443868483412323
Cylinder,80,80,30,10,40,600,0,0,34,0.4305,1.3792,77.03,0.14443868483412323
Cylinder,60,60,36,20,56,600,0,0,50,0.4665,1.9432,80.73,0.14415481832543442
Rectangle,100,80,44,10,54,800,0,0,48,0.4526,1.9056,86.08,0.14257533663801975
Rectangle,80,100,44,10,54,800,0,0,48,0.4526,1.9056,85.96,0.1423790870349392
Rectangle,80,80,36,20,56,800,0,0,50,0.4712,1.9056,79.09,0.1412279959377116
Rectangle,60,60,36,20,56,600,0,0,50,0.4602,1.9432,78.16,0.13957063868201305
Cylinder,100,100,36,0,36,600,0,0,30,0.4799,1.0502,83.43,0.13905344918378096
Rectangle,80,80,30,0,30,450,0,0,24,0.4029,0.9844,74.05,0.13884774881516587
Cylinder,60,60,44,0,44,450,0,0,38,0.4728,1.4074,80.35,0.1369627854373115
Rectangle,60,60,44,0,44,450,0,0,38,0.4662,1.4074,80.35,0.1369627854373115
Cylinder,80,80,44,20,64,800,0,0,58,0.5508,1.9056,85.23,0.1331704186413902
