shape,width_mm,depth_mm,height_mm,standoff_mm,total_depth_mm,length_mm,shadow_x_mm,shadow_y_mm,source_height_mm,declared_cut_mm,blur_mm,visible_artwork_percent,score
Cylinder,80,80,36,10,46,600,0,0,40,0.4063,1.5632,97.45,0.15888322431704502
Rectangle,80,80,36,10,46,600,0,0,40,0.4034,1.5632,94.76,0.15450654097729896
Cylinder,80,80,36,0,36,450,0,0,30,0.4063,1.1224,97.45,0.15226308997050148
Cylinder,100,100,44,10,54,800,0,0,48,0.4619,1.6612,100.0,0.14814814814814814
Rectangle,80,80,36,0,36,450,0,0,30,0.4034,1.1224,94.76,0.14806876843657818
Cylinder,100,100,30,20,50,800,0,0,44,0.4234,1.6612,89.82,0.14371681415929202
Cylinder,80,80,26,20,46,600,0,0,40,0.4063,1.5632,85.88,0.14002981916121585
Cylinder,80,80,44,10,54,600,0,0,48,0.4875,1.5632,98.38,0.1366355293346444
Cylinder,100,100,44,0,44,600,0,0,38,0.4875,1.1959,100.0,0.13636363636363635
Rectangle,80,100,36,10,46,600,0,0,40,0.4034,1.5632,93.19,0.13589339632400607
Rectangle,80,80,26,20,46,600,0,0,40,0.4034,1.5632,83.22,0.13567718353212774
Cylinder,100,100,30,0,30,450,0,0,24,0.4106,0.8469,90.44,0.13566371681415929
Cylinder,80,80,26,10,36,450,0,0,30,0.4063,1.1224,85.88,0.13419524336283187
Rectangle,100,80,36,10,46,600,0,0,40,0.4034,1.5632,91.84,0.13393608403127347
Cylinder,100,100,30,10,40,600,0,0,34,0.4362,1.1959,89.26,0.1338938053097345
Rectangle,80,80,44,10,54,600,0,0,48,0.4826,1.5632,96.33,0.1337881022615536
Cylinder,100,100,60,0,60,800,0,0,54,0.5196,1.6612,100.0,0.13333333333333333
Cylinder,60,60,30,20,50,450,0,0,44,0.4391,1.5947,88.61,0.13292035398230087
Cylinder,80,80,30,20,50,600,0,0,44,0.4469,1.5632,88.61,0.13292035398230087
Cylinder,100,100,36,20,56,800,0,0,50,0.4811,1.6612,92.91,0.13272229245680575
Rectangle,80,100,36,0,36,450,0,0,30,0.4034,1.1224,93.19,0.1302311714771725
Rectangle,80,80,26,10,36,450,0,0,30,0.4034,1.1224,83.22,0.1300239675516224
Rectangle,100,80,36,0,36,450,0,0,30,0.4034,1.1224,91.84,0.12835541386330376
Rectangle,60,60,30,20,50,450,0,0,44,0.4325,1.5947,85.5,0.12825221238938053
Rectangle,80,80,30,20,50,600,0,0,44,0.4431,1.5632,85.5,0.12825221238938053
Cylinder,60,60,36,0,36,300,0,0,30,0.4491,0.9965,92.09,0.1279088823336611
Rectangle,60,60,36,0,36,300,0,0,30,0.442,0.9965,92.09,0.1279088823336611
Cylinder,60,60,44,10,54,450,0,0,48,0.479,1.5947,90.75,0.12604473942969519
Rectangle,60,60,44,10,54,450,0,0,48,0.4705,1.5947,90.75,0.12604473942969519
Cylinder,80,80,26,0,26,300,0,0,20,0.4063,0.6816,85.88,0.12387253233492171
Cylinder,80,80,30,10,40,450,0,0,34,0.4605,1.1224,88.08,0.12386615044247788
